id,Country,Time,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
ASM,American Samoa,total pop,222396.0,228066.4,233492.8,238696.8,243697.2,248510.8,253152.4,257635.6,261972.4,266172.8,270246.8,274202.4,278047.6,281789.2,285433.6,288986.0,292451.2,295834.8,299139.6,302370.0,305528.8,308619.2,311644.0,314605.2,317504.4,320344.4,323126.0,325851.2,328520.8,331136.4,333698.8,336208.4,338666.8,341074.4,343431.2,345738.4,347996.4,350205.2,352365.6,354478.0,356542.4,358559.2,360528.8,362451.2,364327.2,366156.4,367939.2,369675.6,371366.8,373012.0,374611.6
ASM,American Samoa,GDP with energy price elasticity effects,2492000000.0,2504000000.0,2532000000.0,2564000000.0,2592000000.0,2620000000.0,2648000000.0,2676000000.0,2708000000.0,2736000000.0,2764000000.0,2796000000.0,2824000000.0,2856000000.0,2888000000.0,2916000000.0,2948000000.0,2980000000.0,3012000000.0,3044000000.0,3076000000.0,3108000000.0,3140000000.0,3172000000.0,3208000000.0,3240000000.0,3276000000.0,3308000000.0,3344000000.0,3380000000.0,3412000000.0,3448000000.0,3484000000.0,3520000000.0,3560000000.0,3596000000.0,3632000000.0,3672000000.0,3708000000.0,3748000000.0,3788000000.0,3828000000.0,3868000000.0,3908000000.0,3948000000.0,3988000000.0,4040000000.0,4080000000.0,4120000000.0,4160000000.0,4200000000.0
ASM,American Samoa,total dom energy demand,0.0,0.001530548,0.00401588,0.00596144,0.00729644,0.00751476,0.00735416,0.0072602,0.00718436,0.00709452,0.00702036,0.0069634,0.00696576,0.00692424,0.0068098,0.00671948,0.006651,0.00663028,0.00661732,0.00658436,0.00653744,0.00648532,0.00643836,0.0063952,0.00635524,0.00631632,0.00627732,0.00621232,0.00615256,0.00608156,0.0059802,0.00589476,0.00582916,0.00577608,0.00572992,0.00568748,0.00564736,0.00560928,0.00557228,0.00553588,0.00550092,0.00546732,0.00542812,0.00539456,0.00536432,0.00533536,0.00530696,0.00527324,0.00523688,0.00520248,0.00516956
ASM,American Samoa,reserves plus stocks oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,American Samoa,reserves gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASM,American Samoa,pc renewables consumption of total energy consumption,0.0,56.3488,57.5108,58.5156,59.3508,65.5708,72.6856,77.4868,80.3332,82.6392,84.2048,85.1052,84.8904,84.9036,85.5856,85.7524,85.1788,83.6928,81.9544,80.3348,78.7736,77.18,75.4476,73.6108,71.6936,69.7344,67.8424,66.5048,65.4352,64.7788,64.7052,64.7312,64.7644,64.8036,64.8472,64.892,64.9336,64.9688,65.0064,65.0524,65.0972,65.1412,65.2688,65.3436,65.3932,65.4396,65.492,65.6228,65.7984,65.9616,66.1172
AUS,Australia,total pop,96400000.0,96800000.0,97200000.0,97600000.0,97600000.0,98000000.0,98400000.0,98400000.0,98800000.0,98800000.0,98800000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,99200000.0,98800000.0,98800000.0,98800000.0,98800000.0,98400000.0,98400000.0,98000000.0,98000000.0,98000000.0,97600000.0,97600000.0,97200000.0,97200000.0,96800000.0,96400000.0,96400000.0,96000000.0,95600000.0,95600000.0,95200000.0,94800000.0,94800000.0,94400000.0,94000000.0,93600000.0,93600000.0,93200000.0
AUS,Australia,GDP with energy price elasticity effects,4800000000000.0,4840000000000.0,4920000000000.0,5000000000000.0,5120000000000.0,5200000000000.0,5320000000000.0,5440000000000.0,5560000000000.0,5640000000000.0,5720000000000.0,5840000000000.0,5920000000000.0,6040000000000.0,6040000000000.0,6120000000000.0,6160000000000.0,6280000000000.0,6440000000000.0,6520000000000.0,6600000000000.0,6680000000000.0,6760000000000.0,6840000000000.0,6920000000000.0,7000000000000.0,7080000000000.0,7120000000000.0,7160000000000.0,7240000000000.0,7320000000000.0,7360000000000.0,7440000000000.0,7520000000000.0,7600000000000.0,7680000000000.0,7760000000000.0,7840000000000.0,7920000000000.0,8000000000000.0,8120000000000.0,8200000000000.0,8320000000000.0,8400000000000.0,8520000000000.0,8640000000000.0,8720000000000.0,8840000000000.0,8960000000000.0,9080000000000.0,9240000000000.0
AUS,Australia,total dom energy demand,497804.0,495908.0,494072.0,493916.0,495552.0,498848.0,504536.0,511672.0,517848.0,522168.0,526168.0,530312.0,537192.0,541920.0,541264.0,540784.0,540988.0,544380.0,549268.0,552968.0,555276.0,556656.0,558000.0,559432.0,561008.0,562620.0,564248.0,563852.0,563512.0,563396.0,563572.0,564068.0,564812.0,565776.0,566956.0,568352.0,569964.0,571788.0,573740.0,575724.0,577868.0,580216.0,581920.0,584216.0,586960.0,589952.0,593108.0,596104.0,599028.0,602124.0,605380.0
AUS,Australia,reserves plus stocks oil,2570144.0,2580848.0,2592416.0,2594128.0,2584524.0,2564828.0,2537076.0,2503420.0,2464948.0,2422184.0,2375448.0,2324976.0,2284184.0,2253600.0,2224572.0,2194476.0,2162392.0,2114988.0,2051172.0,1979792.0,1904180.0,1825628.0,1744684.0,1661604.0,1576552.0,1489644.0,1400976.0,1310800.0,1222012.0,1137940.0,1059568.0,986924.0,919720.0,857572.0,800088.0,746896.0,697640.0,652008.0,609708.0,570468.0,534048.0,500220.0,468784.0,439552.0,412348.0,387022.8,363428.4,341433.6,320917.6,301770.0,283889.2
